# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1201339188,45,339.50,188.50,174.703258,-1.928733,1.2623,2,24.885,24.515,0.425,0.805,0.801,171.77
1201341060,31,341.50,60.50,174.703147,-1.935844,0.3825,4,23.176,23.188,0.575,0.997,0.875,123.09
1201341133,183,341.50,133.50,174.703147,-1.931788,0.7443,1,25.957,25.569,0.437,0.682,0.752,126.44
1201342044,107,342.50,44.50,174.703091,-1.936733,1.4353,1,24.118,24.240,0.578,0.865,0.868,96.20
1201348199,53,348.50,199.50,174.702757,-1.928122,1.2613,2,24.357,24.307,0.484,0.802,0.859,55.36
1201358328,3,358.50,328.50,174.702202,-1.920955,0.3494,4,21.517,20.926,0.596,1.524,0.824,8.50
1202032132,31,32.50,132.50,175.347931,-1.585905,0.2914,2,24.418,23.993,0.421,0.637,0.755,154.13
1202035106,72,35.50,106.50,175.347764,-1.587349,0.6992,1,25.581,24.912,0.561,0.854,0.958,167.41
1202040321,104,40.50,321.50,175.347486,-1.575405,0.4587,1,26.922,25.424,0.557,0.840,0.375,102.93
1202042201,46,42.50,201.50,175.347375,-1.582072,0.5237,1,25.429,24.774,0.465,0.717,0.823,100.18
1202044210,28,44.50,210.50,175.347264,-1.581572,0.7393,3,24.316,23.731,0.622,1.140,0.697,0.68
1202068195,40,68.50,195.50,175.345930,-1.582405,0.4559,4,24.714,24.209,0.649,1.191,0.730,70.49
1202070212,37,70.50,212.50,175.345819,-1.581461,0.5511,2,24.893,24.336,0.539,1.028,0.682,110.34
1202077074,13,77.50,74.50,175.345430,-1.589127,0.3983,4,21.692,21.376,0.982,1.989,0.624,54.48
1202077370,7,77.50,370.50,175.345430,-1.572683,0.5515,2,23.820,22.774,0.313,0.660,0.832,153.02
1202083194,96,83.50,194.50,175.345096,-1.582461,0.6996,1,28.646,26.421,0.477,0.725,0.691,3.53
1202091250,117,91.50,250.50,175.344652,-1.579349,4.2878,2,26.018,25.911,0.495,0.779,0.881,67.78
1202091312,15,91.50,312.50,175.344651,-1.575905,0.1960,4,22.725,22.486,0.630,1.385,0.836,119.09
1202098159,29,98.50,159.50,175.344262,-1.584405,0.8444,4,23.930,23.164,0.643,1.242,0.894,90.48
1202115358,47,115.50,358.50,175.343318,-1.573349,0.3115,1,25.889,24.818,0.424,0.717,0.909,57.60
1202121206,32,121.50,206.50,175.342984,-1.581794,0.5519,2,24.711,23.986,0.513,1.026,0.849,12.77
1202124233,33,124.50,233.50,175.342817,-1.580294,0.5589,3,24.533,24.068,0.541,0.998,0.723,176.54
1202130182,14,130.50,182.50,175.342484,-1.583127,0.4825,4,22.895,22.536,0.746,1.345,0.708,47.45
1202141112,114,141.50,112.50,175.341873,-1.587016,0.3180,1,26.132,25.613,0.588,0.948,0.576,32.09
1202142230,25,142.50,230.50,175.341817,-1.580461,0.3257,4,24.291,24.172,0.384,0.724,0.979,120.47
1202145251,55,145.50,251.50,175.341650,-1.579294,1.4382,2,25.383,25.602,0.476,0.774,0.731,43.94
1202148349,80,148.50,349.50,175.341484,-1.573849,1.0153,1,25.619,25.332,0.458,0.719,0.988,57.04
1202153159,107,153.50,159.50,175.341206,-1.584405,0.4600,1,25.734,26.107,0.464,0.637,0.632,164.52
1202153285,91,153.50,285.50,175.341206,-1.577405,0.7940,3,26.233,25.471,0.566,0.887,0.835,4.55
1202156126,186,156.50,126.50,175.341039,-1.586238,0.5519,4,23.699,22.865,0.363,0.531,0.943,33.36
1202159194,9,159.50,194.50,175.340872,-1.582461,0.5520,4,23.231,22.663,0.519,0.983,0.878,83.21
1202161125,3,161.50,125.50,175.340761,-1.586294,0.5513,4,20.250,19.464,0.733,2.028,0.865,88.25
1202167258,59,167.50,258.50,175.340428,-1.578905,1.1859,1,24.631,24.714,0.945,1.468,0.493,89.59
1202170046,57,170.50,46.50,175.340261,-1.590683,0.7793,2,25.225,24.501,0.593,1.005,0.733,77.42
1202171224,62,171.50,224.50,175.340205,-1.580794,0.5101,1,25.878,25.472,0.651,1.043,0.818,144.91
1202172067,1,172.50,67.50,175.340150,-1.589516,0.0003,6,18.301,17.995,0.452,1.183,0.993,34.06
1202189081,184,189.50,81.50,175.339205,-1.588738,1.0239,1,26.119,25.877,0.494,0.759,0.734,85.66
1202190072,44,190.50,72.50,175.339149,-1.589238,1.2595,3,24.238,24.117,0.727,1.136,0.625,0.02
1202193066,51,193.50,66.50,175.338983,-1.589572,1.2592,3,25.222,25.007,0.558,1.021,0.677,142.10
1202196051,45,196.50,51.50,175.338816,-1.590405,0.9231,3,25.024,24.232,0.494,0.890,0.894,145.02
1202197197,2,197.50,197.50,175.338760,-1.582294,0.2913,4,18.514,18.121,2.224,4.752,0.567,132.22
1202201221,20,201.50,221.50,175.338538,-1.580961,0.5507,4,23.580,23.157,0.604,1.039,0.698,118.09
1202204168,77,204.50,168.50,175.338371,-1.583905,0.4085,1,27.070,26.157,0.453,0.706,0.726,17.06
